# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "SAF" "-s" "2" "-O" "-a" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/hg38_transcript_start_stop.SAF" "-o" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/results/feature_counts_hg38_WITH-0_saf.txt" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/bams/one_bam_file/IP25.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/daliasebat/Desktop/Yeo-Lab-Summer/bams/one_bam_file/IP25.sorted.bam
ZPBP2	chr17	39868201	39877896	+	9696	0
ZPBP	chr7	49937440	50093246	-	155807	19
ZP4	chr1	237877863	237890922	-	13060	0
ZP3	chr7	76397517	76442071	+	44555	551
ZP2	chr16	21197451	21214510	-	17060	2
ZP1	chr11	60867561	60875693	+	8133	0
ZNRF4	chr19	5455416	5456856	+	1441	0
ZNRF3-IT1	chr22	28992720	29018620	+	25901	1052
ZNRF3-AS1	chr22	29024998	29031476	-	6479	2
ZNRF3	chr22	28883571	29057488	+	173918	7278
ZNRF2	chr7	30284596	30367689	+	83094	2447
ZNRF1	chr16	74999023	75110994	+	111972	2424
ZNRD2-AS1	chr11	65569659	65570273	-	615	29
ZNRD2	chr11	65570484	65572892	+	2409	577
ZNRD1	chr6	30061256	30064909	+	3654	474
ZNNT1	chr8	101166804	101169629	-	2826	116
ZNHIT6	chr1	85649416	85708433	-	59018	3738
ZNHIT3	chr17	36486694	36498148	+	11455	649
ZNHIT2	chr11	65116402	65117701	-	1300	126
ZNHIT1	chr7	101218164	101224190	+	6027	1073
ZNFX1	chr20	49237945	49278426	-	40482	1975
ZNF99	chr19	22752182	22784151	-	31970	7
ZNF98	chr19	22391018	22422346	-	31329	29
ZNF93	chr19	19900945	19935575	+	34631	8
ZNF92	chr7	65373798	65401135	+	27338	1096
ZNF91	chr19	23338748	23395457	-	56710	4339
ZNF90	chr19	20077999	20121165	+	43167	4
ZNF891	chr12	133106816	133130473	-	23658	3345
ZNF888	chr19	52904416	52923481	-	19066	934
ZNF883	chr9	112997119	113050043	-	52925	1252
ZNF880	chr19	52369922	52385795	+	15874	60
ZNF879	chr5	179023803	179035064	+	11262	103
ZNF878	chr19	12043804	12052961	-	9158	57
ZNF875	chr19	37312836	37364445	+	51610	7088
ZNF865	chr19	55605404	55617269	+	11866	495
ZNF862	chr7	149838374	149867479	+	29106	687
ZNF860	chr3	31981749	31991723	+	9975	28
ZNF853	chr7	6615609	6624290	+	8682	56
ZNF852	chr3	44498969	44510636	-	11668	1008
ZNF850	chr19	36714382	36772825	-	58444	1623
ZNF85	chr19	20923250	20950697	+	27448	458
ZNF846	chr19	9752139	9768734	-	16596	355
ZNF845	chr19	53333748	53356906	+	23159	637
ZNF844	chr19	12064730	12081565	+	16836	8
ZNF843	chr16	31432592	31443025	-	10434	26
ZNF841	chr19	52064465	52095765	-	31301	2889
ZNF84-DT	chr12	133030388	133036911	-	6524	0
ZNF84	chr12	133037291	133063298	+	26008	3297
ZNF839	chr14	102317376	102342364	+	24989	3127
ZNF837	chr19	58367622	58381030	-	13409	150
ZNF836	chr19	52154847	52171491	-	16645	195
ZNF835	chr19	56661979	56671757	-	9779	0
ZNF831	chr20	59123380	59259113	+	135734	2
ZNF830	chr17	34961539	34963777	+	2239	713
ZNF83	chr19	52594150	52690496	-	96347	5810
ZNF829	chr19	36888123	36916021	-	27899	401
ZNF827	chr4	145757626	145938823	-	181198	3926
ZNF823	chr19	11721264	11738946	-	17683	555
ZNF821	chr16	71859679	71884190	-	24512	930
ZNF816-ZNF321P	chr19	52928474	52962823	-	34350	1068
ZNF816	chr19	52949384	52962881	-	13498	242
ZNF814	chr19	57850319	57888958	-	38640	1144
ZNF813	chr19	53467732	53496255	+	28524	706
ZNF81	chrX	47836901	47925627	+	88727	2914
ZNF808	chr19	52527667	52556336	+	28670	913
ZNF805	chr19	57240631	57262728	+	22098	2044
ZNF804B	chr7	88759699	89338528	+	578830	18
ZNF804A	chr2	184598528	184939492	+	340965	14562
ZNF800	chr7	127370042	127392708	-	22667	1808
ZNF80	chr3	114234630	114237578	-	2949	2
ZNF8-ERVK3-1	chr19	58278965	58315197	+	36233	8360
ZNF8	chr19	58278954	58302791	+	23838	5299
ZNF799	chr19	12390015	12401271	-	11257	364
ZNF793-AS1	chr19	37497163	37507087	-	9925	3
ZNF793	chr19	37506938	37543333	+	36396	58
ZNF792	chr19	34956353	34964229	-	7877	196
ZNF791	chr19	12610917	12633840	+	22924	2281
ZNF790-AS1	chr19	36797515	36831596	+	34082	1664
ZNF790	chr19	36818321	36850787	-	32467	824
ZNF79	chr9	127424373	127445371	+	20999	724
ZNF789	chr7	99472892	99503650	+	30759	2473
ZNF787	chr19	56087365	56121295	-	33931	2758
ZNF786	chr7	149069642	149090782	-	21141	982
ZNF785	chr16	30578360	30585769	-	7410	5
ZNF784	chr19	55620740	55624566	-	3827	106
ZNF783	chr7	149262195	149284988	+	22794	1866
ZNF782	chr9	96816268	96854514	-	38247	2145
ZNF781	chr19	37667750	37692315	-	24566	56
ZNF780B	chr19	40028259	40056231	-	27973	3750
ZNF780A	chr19	40069151	40090888	-	21738	1832
ZNF778	chr16	89217709	89237071	+	19363	1765
ZNF777	chr7	149431362	149461062	-	29701	572
ZNF776	chr19	57746814	57758148	+	11335	1429
ZNF775	chr7	150379329	150398630	+	19302	474
ZNF774	chr15	90352339	90369146	+	16808	928
ZNF773	chr19	57499938	57518404	+	18467	610
ZNF772	chr19	57466662	57477551	-	10890	981
ZNF771	chr16	30407628	30431108	+	23481	1092
ZNF770	chr15	34978340	34988287	-	9948	2909
ZNF77	chr19	2933217	2944971	-	11755	743
ZNF768	chr16	30524132	30526821	-	2690	2215
ZNF766	chr19	52269586	52296046	+	26461	1024
ZNF765	chr19	53395172	53430413	+	35242	1628
ZNF764	chr16	30553763	30558374	-	4612	1133
ZNF763	chr19	11965039	11980617	+	15579	43
ZNF761	chr19	53445000	53458261	+	13262	1380
ZNF76	chr6	35259734	35295985	+	36252	3035
ZNF75D	chrX	135285790	135344109	-	58320	2697
ZNF75A	chr16	3305471	3318852	+	13382	2297
ZNF750	chr17	82829433	82840022	-	10590	3
ZNF749	chr19	57435324	57447101	+	11778	1864
ZNF747	chr16	30530366	30535347	-	4982	502
ZNF746	chr7	149472695	149497817	-	25123	1576
ZNF740	chr12	53180721	53195142	+	14422	2588
ZNF74	chr22	20394114	20408461	+	14348	1679
ZNF738	chr19	21358929	21379300	+	20372	1343
ZNF737	chr19	20537991	20565781	-	27791	233
ZNF736	chr7	64313960	64356634	+	42675	7115
ZNF735	chr7	64207089	64220508	+	13420	0
ZNF732	chr4	270674	305474	-	34801	3
ZNF730	chr19	23075209	23136106	+	60898	2
ZNF729	chr19	22286440	22317176	+	30737	1
ZNF728	chr19	22974882	23003176	-	28295	1
ZNF727	chr7	64045433	64085339	+	39907	24
ZNF726	chr19	23914876	23945159	+	30284	1160
ZNF724	chr19	23221598	23250394	-	28797	1205
ZNF723	chr19	22832290	22858667	+	26378	3
ZNF722P	chr7	63998873	64016130	+	17258	1
ZNF721	chr4	439987	499156	-	59170	8582
ZNF720	chr16	31713276	31794155	+	80880	1161
ZNF718	chr4	124500	164162	+	39663	1899
ZNF717	chr3	75729960	75785553	-	55594	3888
ZNF716	chr7	57450176	57473559	+	23384	2
ZNF714	chr19	21082173	21125270	+	43098	4682
ZNF713	chr7	55887455	55942225	+	54771	990
ZNF711	chrX	85243990	85273357	+	29368	11002
ZNF710-AS1	chr15	90074514	90082207	-	7694	62
ZNF710	chr15	90001323	90082191	+	80869	2676
ZNF71	chr19	56595299	56626481	+	31183	531
ZNF709	chr19	12461183	12484816	-	23634	612
ZNF708	chr19	21291159	21329410	-	38252	1979
ZNF707	chr8	143684478	143695385	+	10908	554
ZNF706	chr8	101177877	101205461	-	27585	1770
ZNF705G	chr8	7355516	7385558	-	30043	0
ZNF705E	chr11	71814044	71821548	-	7505	58
ZNF705D	chr8	12104388	12115516	+	11129	0
ZNF705B	chr8	7926336	7952413	+	26078	0
ZNF705A	chr12	8168841	8179942	+	11102	3
ZNF704	chr8	80628450	80874781	-	246332	8312
ZNF703	chr8	37695781	37700019	+	4239	1674
ZNF701	chr19	52570286	52587174	+	16889	247
ZNF700	chr19	11925067	11950773	+	25707	3767
ZNF70	chr22	23738681	23751112	-	12432	1519
ZNF7	chr8	144827558	144847509	+	19952	1875
ZNF699	chr19	9291139	9309838	-	18700	420
ZNF697	chr1	119619376	119648266	-	28891	920
ZNF696	chr8	143291416	143299952	+	8537	424
ZNF695	chr1	246945674	247008093	-	62420	2389
ZNF692	chr1	248850007	248859085	-	9079	3243
ZNF691	chr1	42846572	42852473	+	5902	1536
ZNF69	chr19	11887854	11914329	+	26476	74
ZNF689	chr16	30602557	30610389	-	7833	1369
ZNF688	chr16	30569345	30572734	-	3390	164
ZNF687-AS1	chr1	151279677	151281948	-	2272	77
ZNF687	chr1	151282311	151291903	+	9593	1376
ZNF684	chr1	40531572	40548110	+	16539	636
ZNF683	chr1	26361634	26372775	-	11142	0
ZNF682	chr19	19997057	20039465	-	42409	2048
ZNF681	chr19	23739194	23758891	-	19698	599
ZNF680	chr7	64519877	64563071	-	43195	1970
ZNF679	chr7	64228473	64266931	+	38459	2
ZNF678	chr1	227563542	227677443	+	113902	5059
ZNF677	chr19	53235380	53254858	-	19479	0
ZNF676	chr19	22179949	22215775	-	35827	11
ZNF675	chr19	23525630	23687197	-	161568	1002
ZNF674-AS1	chrX	46545437	46548841	+	3405	834
ZNF674	chrX	46497726	46545441	-	47716	656
ZNF672	chr1	248838223	248849517	+	11295	423
ZNF671	chr19	57719750	57727624	-	7875	3
ZNF670-ZNF695	chr1	246945546	247078736	-	133191	3143
ZNF670	chr1	247034636	247078811	-	44176	707
ZNF669	chr1	247099961	247104368	-	4408	161
ZNF668	chr16	31060846	31074240	-	13395	582
ZNF667-AS1	chr19	56478229	56504362	+	26134	6
ZNF667	chr19	56439324	56477374	-	38051	2
ZNF665	chr19	53162423	53193358	-	30936	0
ZNF664	chr12	123973122	124015422	+	42301	9072
ZNF662	chr3	42906141	42919334	+	13194	1
ZNF660	chr3	44584963	44599694	+	14732	6
ZNF66	chr19	20776303	20809995	+	33693	543
ZNF658	chr9	66900728	66921439	+	20712	119
ZNF655	chr7	99558641	99576453	+	17813	6230
ZNF654	chr3	88059254	88144660	+	85407	1872
ZNF653	chr19	11483428	11505839	-	22412	348
ZNF652	chr17	49289205	49362250	-	73046	8163
ZNF649-AS1	chr19	51888024	51900463	+	12440	2
ZNF649	chr19	51889234	51905017	-	15784	579
ZNF648	chr1	182054569	182061712	-	7144	16
ZNF646	chr16	31074421	31084196	+	9776	1444
ZNF644	chr1	90915303	91022035	-	106733	10595
ZNF641	chr12	48337179	48350919	-	13741	1817
ZNF639	chr3	179323030	179338583	+	15554	1771
ZNF638	chr2	71276592	71395670	+	119079	13562
ZNF630-AS1	chrX	48056309	48066583	+	10275	0
ZNF630	chrX	48057515	48071640	-	14126	119
ZNF629	chr16	30778455	30787205	-	8751	2393
ZNF628	chr19	55476616	55484487	+	7872	113
ZNF627	chr19	11597482	11619161	+	21680	753
ZNF626	chr19	20619938	20661571	-	41634	289
ZNF625-ZNF20	chr19	12132116	12156731	-	24616	1384
ZNF625	chr19	12144889	12156734	-	11846	862
ZNF624	chr17	16620733	16653850	-	33118	280
ZNF623	chr8	143636018	143653730	+	17713	1918
ZNF622	chr5	16451518	16465800	-	14283	600
ZNF621	chr3	40524877	40539794	+	14918	6605
ZNF620	chr3	40506038	40518736	+	12699	1058
ZNF619	chr3	40477121	40491053	+	13933	516
ZNF618	chr9	113876281	114056591	+	180311	6078
ZNF616	chr19	52113090	52139938	-	26849	817
ZNF615	chr19	51991344	52008230	-	16887	634
ZNF614	chr19	52012764	52028349	-	15586	1044
ZNF613	chr19	51927471	51946621	+	19151	234
ZNF611	chr19	52702812	52735054	-	32243	2264
ZNF610	chr19	52336242	52367778	+	31537	43
ZNF609	chr15	64499291	64686068	+	186778	11478
ZNF608	chr5	124636916	124745425	-	108510	2122
ZNF607	chr19	37696370	37719761	-	23392	2378
ZNF606	chr19	57977052	58003349	-	26298	811
ZNF605	chr12	132918305	132956306	-	38002	3082
ZNF600	chr19	52764194	52786763	-	22570	127
ZNF599	chr19	34758072	34773215	-	15144	384
ZNF598	chr16	1997654	2009821	-	12168	7332
ZNF597	chr16	3432413	3443504	-	11092	2
ZNF596	chr8	232216	264703	+	32488	675
ZNF595	chr4	53320	88208	+	34889	1167
ZNF594	chr17	5179534	5191868	-	12335	2717
ZNF593	chr1	26169907	26170873	+	967	243
ZNF592	chr15	84748591	84806445	+	57855	3402
ZNF589	chr3	48241100	48299253	+	58154	7876
ZNF587B	chr19	57819720	57843488	+	23769	3890
ZNF587	chr19	57849858	57865117	+	15260	5219
ZNF586	chr19	57769669	57819939	+	50271	3242
ZNF585B	chr19	37181578	37210536	-	28959	2016
ZNF585A	chr19	37145539	37172695	-	27157	894
ZNF584	chr19	58408648	58418327	+	9680	858
ZNF583	chr19	56404331	56427364	+	23034	421
ZNF582-AS1	chr19	56393732	56399168	+	5437	233
ZNF582	chr19	56382751	56393520	-	10770	290
ZNF581	chr19	55635458	55645622	+	10165	1972
ZNF580	chr19	55641001	55643470	+	2470	751
ZNF579	chr19	55576773	55580848	-	4076	293
ZNF578	chr19	52453552	52516882	+	63331	10
ZNF577	chr19	51871281	51887951	-	16671	607
ZNF576	chr19	43596594	43601157	+	4564	233
ZNF575	chr19	43525496	43536130	+	10635	13
ZNF574	chr19	42068476	42081410	+	12935	253
ZNF573	chr19	37738301	37817300	-	79000	1700
ZNF572	chr8	124973294	124979389	+	6096	83
ZNF571-AS1	chr19	37548950	37587348	+	38399	30
ZNF571	chr19	37554781	37594755	-	39975	1539
ZNF570	chr19	37469355	37488652	+	19298	349
ZNF57	chr19	2900897	2918469	+	17573	421
ZNF569	chr19	37411169	37469270	-	58102	847
ZNF568	chr19	36916448	36997932	+	81485	1344
ZNF567	chr19	36687627	36721327	+	33701	1379
ZNF566	chr19	36445118	36489435	-	44318	1833
ZNF565	chr19	36182293	36246257	-	63965	409
ZNF564	chr19	12525372	12551482	-	26111	865
ZNF563	chr19	12317476	12333633	-	16158	73
ZNF562	chr19	9641806	9675100	-	33295	4148
ZNF561-AS1	chr19	9621248	9647203	+	25956	400
ZNF561	chr19	9607328	9621232	-	13905	2200
ZNF560	chr19	9466354	9498616	-	32263	6
ZNF559-ZNF177	chr19	9324340	9382617	+	58278	3595
ZNF559	chr19	9324178	9351162	+	26985	1968
ZNF558	chr19	8806169	8832304	-	26136	1
ZNF557	chr19	7069702	7087968	+	18267	1376
ZNF556	chr19	2867334	2883445	+	16112	7
ZNF555	chr19	2841474	2860471	+	18998	436
ZNF554	chr19	2819867	2836735	+	16869	618
ZNF552	chr19	57807081	57814913	-	7833	659
ZNF551	chr19	57682034	57717301	+	35268	3221
ZNF550	chr19	57535256	57559812	-	24557	1093
ZNF549	chr19	57527425	57557542	+	30118	1161
ZNF548	chr19	57389849	57402992	+	13144	1067
ZNF547	chr19	57363550	57379565	+	16016	432
ZNF546	chr19	39997059	40021038	+	23980	1299
ZNF544	chr19	58229467	58277495	+	48029	2013
ZNF543	chr19	57320471	57330770	+	10300	1363
ZNF541	chr19	47520684	47555856	-	35173	11
ZNF540	chr19	37551405	37614095	+	62691	295
ZNF536	chr19	30372383	30558059	+	185677	4297
ZNF534	chr19	52429186	52452315	+	23130	3
ZNF532	chr18	58862599	58986480	+	123882	1116
ZNF530	chr19	57599902	57612722	+	12821	1567
ZNF529-AS1	chr19	36573069	36594708	+	21640	782
ZNF529	chr19	36543612	36573292	-	29681	5364
ZNF528-AS1	chr19	52389018	52397757	-	8740	153
ZNF528	chr19	52397848	52418403	+	20556	736
ZNF527	chr19	37371098	37393066	+	21969	690
ZNF526	chr19	42220311	42228201	+	7891	988
ZNF525	chr19	53365728	53392217	+	26490	637
ZNF524	chr19	55600287	55603138	+	2852	227
ZNF521	chr18	25061923	25352166	-	290244	2978
ZNF519	chr18	14099937	14132435	-	32499	3080
ZNF518B	chr4	10439879	10457426	-	17548	1764
ZNF518A	chr10	96130055	96163752	+	33698	9136
ZNF517	chr8	144798875	144809144	+	10270	139
ZNF516-DT	chr18	76495520	76498088	+	2569	5
ZNF516	chr18	76357681	76495242	-	137562	7400
ZNF514	chr2	95144999	95159848	-	14850	4588
ZNF513	chr2	27377234	27380734	-	3501	738
ZNF512B	chr20	63956703	63969930	-	13228	7261
ZNF512	chr2	27582968	27623215	+	40248	3801
ZNF511-PRAP1	chr10	133309409	133352529	+	43121	878
ZNF511	chr10	133308913	133313161	+	4249	829
ZNF510	chr9	96755864	96778056	-	22193	2247
ZNF507	chr19	32345593	32387667	+	42075	4592
ZNF506	chr19	19785841	19821709	-	35869	1689
ZNF503-AS2	chr10	75401518	75407941	+	6424	344
ZNF503-AS1	chr10	75273296	75358608	+	85313	37
ZNF503	chr10	75397829	75401764	-	3936	1321
ZNF502	chr3	44712642	44723829	+	11188	718
ZNF501	chr3	44729595	44737083	+	7489	195
ZNF500	chr16	4748238	4767162	-	18925	1905
ZNF497	chr19	58354356	58362751	-	8396	390
ZNF496	chr1	247297411	247331743	-	34333	2905
ZNF493	chr19	21397132	21427577	+	30446	1859
ZNF492	chr19	22634323	22667671	+	33349	158
ZNF491	chr19	11798522	11808503	+	9982	127
ZNF490	chr19	12576099	12610813	-	34715	698
ZNF488	chr10	47365495	47384293	-	18799	159
ZNF487	chr10	43436847	43483181	+	46335	252
ZNF486	chr19	20167213	20200488	+	33276	116
ZNF485	chr10	43606425	43617903	+	11479	741
ZNF484	chr9	92844181	92878038	-	33858	1135
ZNF483	chr9	111525158	111577844	+	52687	5742
ZNF480	chr19	52297168	52325922	+	28755	1060
ZNF48	chr16	30378313	30399927	+	21615	919
ZNF479	chr7	57119613	57139864	-	20252	1
ZNF474	chr5	122129545	122153569	+	24025	100
ZNF473	chr19	50026039	50053414	+	27376	1166
ZNF471	chr19	56507849	56530221	+	22373	3
ZNF470	chr19	56567525	56588911	+	21387	450
ZNF469	chr16	88382958	88440753	+	57796	39
ZNF468	chr19	52838009	52857619	-	19611	454
ZNF467	chr7	149764181	149773588	-	9408	55
ZNF462	chr9	106863165	107013634	+	150470	2745
ZNF461	chr19	36636617	36666837	-	30221	975
ZNF460-AS1	chr19	57267219	57280308	-	13090	706
ZNF460	chr19	57280484	57294069	+	13586	12534
ZNF454	chr5	178941190	178966433	+	25244	9
ZNF451-AS1	chr6	57114910	57172422	-	57513	93
ZNF451	chr6	57090029	57170201	+	80173	8786
ZNF45	chr19	43912623	43935282	-	22660	1463
ZNF449	chrX	135344795	135363413	+	18619	1750
ZNF446	chr19	58474016	58481228	+	7213	1116
ZNF445	chr3	44431704	44477670	-	45967	6316
ZNF444	chr19	56141286	56160893	+	19608	1710
ZNF443	chr19	12429705	12441021	-	11317	447
ZNF442	chr19	12345943	12365683	-	19741	137
ZNF441	chr19	11766999	11784078	+	17080	641
ZNF440	chr19	11814272	11835216	+	20945	1909
ZNF44	chr19	12271807	12294883	-	23077	1492
ZNF439	chr19	11848760	11869482	+	20723	24
ZNF438	chr10	30844637	31031937	-	187301	2770
ZNF436-AS1	chr1	23369217	23371839	+	2623	455
ZNF436	chr1	23359447	23369836	-	10390	644
ZNF433-AS1	chr19	11987678	12046275	+	58598	308
ZNF433	chr19	12014731	12035688	-	20958	497
ZNF432	chr19	52031377	52048838	-	17462	1230
ZNF431	chr19	21142039	21196053	+	54015	3761
ZNF430	chr19	21020656	21060050	+	39395	1509
ZNF43	chr19	21804948	21852068	-	47121	1038
ZNF429	chr19	21505603	21555397	+	49795	509
ZNF428	chr19	43607223	43619629	-	12407	513
ZNF426-DT	chr19	9538692	9539734	+	1043	15
ZNF426	chr19	9523222	9538645	-	15424	1423
ZNF425	chr7	149102783	149126324	-	23542	292
ZNF423	chr16	49491274	49857919	-	366646	2850
ZNF420	chr19	37078432	37130368	+	51937	1049
ZNF419	chr19	57487740	57496097	+	8358	1369
ZNF418	chr19	57921881	57935402	-	13522	87
ZNF417	chr19	57905773	57916592	-	10820	1745
ZNF416	chr19	57571565	57578911	-	7347	241
ZNF415	chr19	53107879	53132918	-	25040	9
ZNF414	chr19	8509677	8514167	-	4491	205
ZNF410	chr14	73886858	73932521	+	45664	4098
ZNF41	chrX	47445878	47482946	-	37069	1569
ZNF408	chr11	46701030	46705912	+	4883	288
ZNF407	chr18	74631019	75065669	+	434651	5814
ZNF404	chr19	43872364	43883964	-	11601	793
ZNF398	chr7	149126415	149182802	+	56388	3382
ZNF397	chr18	35241054	35259227	+	18174	2292
ZNF396	chr18	35366693	35377337	-	10645	51
ZNF395	chr8	28345589	28386460	-	40872	2166
ZNF394	chr7	99493248	99504857	-	11610	1030
ZNF391	chr6	27388717	27403904	+	15188	1097
ZNF385D-AS2	chr3	21957135	21979828	+	22694	2
ZNF385D-AS1	chr3	21542815	21579959	+	37145	0
ZNF385D	chr3	21412217	21751210	-	338994	4
ZNF385C	chr17	42026896	42098479	-	71584	687
ZNF385B	chr2	179441981	179861612	-	419632	2783
ZNF385A	chr12	54369139	54391298	-	22160	178
ZNF384	chr12	6666476	6689510	-	23035	2467
ZNF383	chr19	37218279	37243921	+	25643	741
ZNF382	chr19	36605312	36634114	+	28803	1481
ZNF37A	chr10	38094333	38150293	+	55961	12127
ZNF367	chr9	96385940	96418370	-	32431	3842
ZNF366	chr5	72439902	72507410	-	67509	1
ZNF365	chr10	62374191	62480288	+	106098	161
ZNF362	chr1	33256491	33300719	+	44229	1575
ZNF358	chr19	7516102	7521025	+	4924	454
ZNF354C	chr5	179060372	179083977	+	23606	4
ZNF354B	chr5	178859952	178885020	+	25069	1851
ZNF354A	chr5	178711511	178730659	-	19149	809
ZNF350-AS1	chr19	51949146	51981343	+	32198	55
ZNF350	chr19	51964339	51986840	-	22502	518
ZNF35	chr3	44648731	44660791	+	12061	917
ZNF347	chr19	53124071	53159053	-	34983	113
ZNF346-IT1	chr5	177051713	177052963	+	1251	255
ZNF346	chr5	177022734	177081189	+	58456	6274
ZNF345	chr19	36850894	36893034	+	42141	730
ZNF343	chr20	2481822	2524522	-	42701	1269
ZNF341-AS1	chr20	33787372	33811109	-	23738	6
ZNF341	chr20	33731656	33792269	+	60614	291
ZNF34	chr8	144772223	144787317	-	15095	336
ZNF33B	chr10	42589108	42638570	-	49463	5030
ZNF33A	chr10	38010685	38065088	+	54404	11273
ZNF337-AS1	chr20	25624156	25689032	+	64877	738
ZNF337	chr20	25673194	25696853	-	23660	5409
ZNF335	chr20	45948659	45972203	-	23545	3027
ZNF334	chr20	46499631	46513554	-	13924	1069
ZNF333	chr19	14690068	14733746	+	43679	1613
ZNF331	chr19	53520947	53580202	+	59256	9032
ZNF330	chr4	141220894	141234697	+	13804	1553
ZNF329	chr19	58126247	58150789	-	24543	426
ZNF326	chr1	89995109	90035533	+	40425	4674
ZNF324B	chr19	58451621	58457833	+	6213	604
ZNF324	chr19	58467055	58475436	+	8382	1223
ZNF322	chr6	26634382	26659746	-	25365	535
ZNF320	chr19	52860850	52897693	-	36844	2635
ZNF32-AS3	chr10	43628816	43674703	+	45888	224
ZNF32-AS2	chr10	43645941	43648019	+	2079	36
ZNF32-AS1	chr10	43643871	43645047	+	1177	12
ZNF32	chr10	43643861	43648881	-	5021	605
ZNF319	chr16	57994667	57999858	-	5192	147
ZNF318	chr6	43336069	43369647	-	33579	2880
ZNF317	chr19	9140396	9163413	+	23018	2560
ZNF316	chr7	6637317	6658279	+	20963	3322
ZNF311	chr6	28994784	29005260	-	10477	0
ZNF304	chr19	57351270	57359898	+	8629	844
ZNF302	chr19	34677638	34686394	+	8757	3028
ZNF300	chr5	150894391	150904983	-	10593	1662
ZNF30-AS1	chr19	34923298	34926812	-	3515	23
ZNF30	chr19	34926902	34945170	+	18269	615
ZNF3	chr7	100064032	100081727	-	17696	3076
ZNF296	chr19	45071500	45076587	-	5088	130
ZNF295-AS1	chr21	42009493	42055112	+	45620	70
ZNF292	chr6	87155564	87265943	+	110380	9273
ZNF287	chr17	16546953	16569204	-	22252	349
